"","x"
"1",0
"2",0.00580585229911751
"3",0.011611704598235
"4",0.0174175568973525
"5",0.02322340919647
"6",0.0290292614955876
"7",0.0348351137947051
"8",0.0406409660938226
"9",0.0464468183929401
"10",0.0522526706920576
"11",0.0580585229911751
"12",0.0638643752902926
"13",0.0696702275894101
"14",0.0754760798885276
"15",0.0812819321876452
"16",0.0870877844867627
"17",0.0928936367858802
"18",0.0986994890849977
"19",0.104505341384115
"20",0.110311193683233
"21",0.11611704598235
"22",0.121922898281468
"23",0.127728750580585
"24",0.133534602879703
"25",0.13934045517882
"26",0.145146307477938
"27",0.150952159777055
"28",0.156758012076173
"29",0.16256386437529
"30",0.168369716674408
"31",0.174175568973525
"32",0.179981421272643
"33",0.18578727357176
"34",0.191593125870878
"35",0.197398978169995
"36",0.203204830469113
"37",0.20901068276823
"38",0.214816535067348
"39",0.220622387366465
"40",0.226428239665583
"41",0.2322340919647
"42",0.238039944263818
"43",0.243845796562935
"44",0.249651648862053
"45",0.25545750116117
"46",0.261263353460288
"47",0.267069205759405
"48",0.272875058058523
"49",0.278680910357641
"50",0.284486762656758
"51",0.290292614955876
"52",0.296098467254993
"53",0.301904319554111
"54",0.307710171853228
"55",0.313516024152346
"56",0.319321876451463
"57",0.325127728750581
"58",0.330933581049698
"59",0.336739433348816
"60",0.342545285647933
"61",0.348351137947051
"62",0.354156990246168
"63",0.359962842545286
"64",0.365768694844403
"65",0.371574547143521
"66",0.377380399442638
"67",0.383186251741756
"68",0.388992104040873
"69",0.394797956339991
"70",0.400603808639108
"71",0.406409660938226
"72",0.412215513237343
"73",0.418021365536461
"74",0.423827217835578
"75",0.429633070134696
"76",0.435438922433813
"77",0.441244774732931
"78",0.447050627032048
"79",0.452856479331166
"80",0.458662331630283
"81",0.464468183929401
"82",0.470274036228518
"83",0.476079888527636
"84",0.481885740826753
"85",0.487691593125871
"86",0.493497445424988
"87",0.499303297724106
"88",0.505109150023223
"89",0.510915002322341
"90",0.516720854621458
"91",0.522526706920576
"92",0.528332559219693
"93",0.534138411518811
"94",0.539944263817928
"95",0.545750116117046
"96",0.551555968416164
"97",0.557361820715281
"98",0.563167673014399
"99",0.568973525313516
"100",0.574779377612634
"101",0.580585229911751
"102",0.586391082210869
"103",0.592196934509986
"104",0.598002786809104
"105",0.603808639108221
"106",0.609614491407339
"107",0.615420343706456
"108",0.621226196005574
"109",0.627032048304691
"110",0.632837900603809
"111",0.638643752902926
"112",0.644449605202044
"113",0.650255457501161
"114",0.656061309800279
"115",0.661867162099396
"116",0.667673014398514
"117",0.673478866697631
"118",0.679284718996749
"119",0.685090571295866
"120",0.690896423594984
"121",0.696702275894101
"122",0.702508128193219
"123",0.708313980492336
"124",0.714119832791454
"125",0.719925685090571
"126",0.725731537389689
"127",0.731537389688806
"128",0.737343241987924
"129",0.743149094287041
"130",0.748954946586159
"131",0.754760798885276
"132",0.760566651184394
"133",0.766372503483511
"134",0.772178355782629
"135",0.777984208081746
"136",0.783790060380864
"137",0.789595912679981
"138",0.795401764979099
"139",0.801207617278216
"140",0.807013469577334
"141",0.812819321876451
"142",0.818625174175569
"143",0.824431026474686
"144",0.830236878773804
"145",0.836042731072921
"146",0.841848583372039
"147",0.847654435671157
"148",0.853460287970274
"149",0.859266140269392
"150",0.865071992568509
"151",0.870877844867627
"152",0.876683697166744
"153",0.882489549465862
"154",0.888295401764979
"155",0.894101254064097
"156",0.899907106363214
"157",0.905712958662332
"158",0.911518810961449
"159",0.917324663260567
"160",0.923130515559684
"161",0.928936367858802
"162",0.934742220157919
"163",0.940548072457037
"164",0.946353924756154
"165",0.952159777055272
"166",0.957965629354389
"167",0.963771481653507
"168",0.969577333952624
"169",0.975383186251742
"170",0.981189038550859
"171",0.986994890849977
"172",0.992800743149094
"173",0.998606595448212
"174",1.00441244774733
"175",1.01021830004645
"176",1.01602415234556
"177",1.02183000464468
"178",1.0276358569438
"179",1.03344170924292
"180",1.03924756154203
"181",1.04505341384115
"182",1.05085926614027
"183",1.05666511843939
"184",1.0624709707385
"185",1.06827682303762
"186",1.07408267533674
"187",1.07988852763586
"188",1.08569437993497
"189",1.09150023223409
"190",1.09730608453321
"191",1.10311193683233
"192",1.10891778913144
"193",1.11472364143056
"194",1.12052949372968
"195",1.1263353460288
"196",1.13214119832791
"197",1.13794705062703
"198",1.14375290292615
"199",1.14955875522527
"200",1.15536460752438
"201",1.1611704598235
"202",1.16697631212262
"203",1.17278216442174
"204",1.17858801672085
"205",1.18439386901997
"206",1.19019972131909
"207",1.19600557361821
"208",1.20181142591732
"209",1.20761727821644
"210",1.21342313051556
"211",1.21922898281468
"212",1.22503483511379
"213",1.23084068741291
"214",1.23664653971203
"215",1.24245239201115
"216",1.24825824431026
"217",1.25406409660938
"218",1.2598699489085
"219",1.26567580120762
"220",1.27148165350673
"221",1.27728750580585
"222",1.28309335810497
"223",1.28889921040409
"224",1.2947050627032
"225",1.30051091500232
"226",1.30631676730144
"227",1.31212261960056
"228",1.31792847189967
"229",1.32373432419879
"230",1.32954017649791
"231",1.33534602879703
"232",1.34115188109614
"233",1.34695773339526
"234",1.35276358569438
"235",1.3585694379935
"236",1.36437529029261
"237",1.37018114259173
"238",1.37598699489085
"239",1.38179284718997
"240",1.38759869948908
"241",1.3934045517882
"242",1.39921040408732
"243",1.40501625638644
"244",1.41082210868556
"245",1.41662796098467
"246",1.42243381328379
"247",1.42823966558291
"248",1.43404551788203
"249",1.43985137018114
"250",1.44565722248026
