Timestamp,ACI,ADI,Temperature,Humidity,Luminosity,Voltage
2019-02-27 17:00:00,2878.4541,0.5815,9.565515,65.49273,26.21555,3.88081
2019-03-04 03:00:00,,,4.382366667,107.678975,0,3.833158333
2019-03-17 20:00:00,,,5.040525,89.377216667,0,3.811033333
2019-03-24 02:00:00,2490.6372,0.105,2.09248,101.72914,0,3.78847
2019-03-27 06:00:00,2977.776,0.5096,4.565545,107.39619,18.59373,3.798175
2019-03-28 12:00:00,,,12.653366667,79.243216667,802.9,3.825991667
2019-07-04 02:00:00,2573.4547,0.3462,9.517435,99.419855,1.34794,3.799625
2019-03-02 04:00:00,2678.3906,0.2024,0.28843,100.72491,0,3.803715
2019-04-04 06:00:00,2976.3542,0.626,5.213925,82.889125,106.72484,3.939535
2019-04-25 06:00:00,3072.07775,0.6199,10.08329,89.199085,175.977265,3.980995
2019-04-27 00:00:00,3298.99695,0.4684,11.601085,91.65984,0,4.050205
2019-05-18 20:00:00,2297.5891,0.2268,13.933155,101.87315,4.186855,3.906275
2019-07-02 01:00:00,2398.61805,0.4786,14.31534,97.72967,0,3.80444
2019-06-10 21:00:00,,,13.312258333,91.427366667,1.9,3.817841667
2019-06-05 17:00:00,3428.3462,0.3026,32.49685,49.96459,527.541375,3.917365
2019-04-17 11:00:00,3643.3091,0.5859,22.169385,29.456405,1663.480565,3.9949
2019-04-05 16:00:00,3395.6052,0.3429,16.05342,42.005795,404.49357,4.193435
2019-03-05 21:00:00,,,0.912266667,109.194316667,0,3.82195
2019-05-01 18:00:00,3180.891,0.5873,11.79189,86.921305,54.75415,3.84462
2019-02-19 05:00:00,2410.0649,0.1507,0.29277,106.613365,0,3.95659
2019-06-29 20:00:00,2477.2832,0.3603,19.48757,84.042205,20.66749,3.884235
2019-02-27 07:00:00,,,-1.201833333,106.448608333,44.25,3.796233333
2019-03-16 10:00:00,,,5.516016667,100.664125,191.45,3.751433333
2019-03-04 04:00:00,,,4.772758333,107.958358333,0,3.830933333
2019-02-27 13:00:00,,,16.870666667,56.024941667,817.166666667,3.861466667
2019-04-07 11:00:00,3303.2539,0.27,14.677165,59.770695,388.4846,3.966655
2019-05-20 04:00:00,2329.0547,0.2508,13.981225,109.20976,18.82354,3.86628
2019-04-22 12:00:00,3136.1084,0.5994,24.00815,26.69565,1934.537055,4.0459
2019-05-29 15:00:00,3481.95105,0.5613,19.26802,41.65441,1091.516445,3.96225
2019-04-25 15:00:00,2721.5167,0.6158,25.114765,50.187245,774.083965,4.14779
2019-03-25 21:00:00,,,0.523725,98.518935,0,3.87654
2019-05-05 04:00:00,2699.20595,0.2826,-3.57344,98.4955,20.50748,3.81556
2019-05-15 01:00:00,2566.73215,0.2501,-0.587005,95.378485,0,4.04453
2019-02-18 21:00:00,2325.9382,0.3929,-0.501975,105.56066,0,4.04363
2019-04-21 16:00:00,2463.85805,0.4871,23.921065,19.42963,752.832735,4.19642
2019-05-18 03:00:00,2151.66085,0.4048,10.34341,108.72673,1.335085,3.869715
2019-07-13 07:00:00,,,16.370875,102.089833333,133.35,3.789333333
2019-03-07 13:00:00,,,7.669791667,111.519491667,85.783333333,3.793258333
2019-06-23 08:00:00,2930.8722,0.4031,20.22625,60.827515,192.800925,3.813315
2019-05-15 22:00:00,2768.5227,0.089,3.53898,76.95203,0,4.10369
2019-06-28 21:00:00,2508.1202,0.4794,14.26371,84.32519,2.227185,3.881655
2019-06-22 02:00:00,,,6.666441667,110.4046,1.666666667,3.78745
2019-06-02 08:00:00,,,18.866425,74.027,421.766666667,3.80575
2019-04-21 19:00:00,2589.2361,0.4813,12.785185,39.013055,17.699635,4.15921
2019-02-19 00:00:00,2318.2202,0.1322,-1.434295,105.928775,0,4.006865
2019-05-30 00:00:00,2688.14145,0.1799,1.291995,98.47356,0,3.889385
2019-02-19 15:00:00,3549.0543,0.6218,6.134825,103.58473,84.732615,3.89108
2019-04-12 17:00:00,3467.2053,0.4681,3.310615,79.85632,125.80063,3.91968
2019-07-13 15:00:00,3344.1404,0.2298,27.64411,59.109015,752.955185,3.894505
2019-02-25 11:00:00,,,10.170883333,68.98145,548.433333333,3.810766667
2019-06-10 04:00:00,,,7.199666667,107.970683333,47.583333333,3.79435
2019-06-11 16:00:00,,,24.383408333,77.008841667,568.933333333,3.860933333
2019-05-30 11:00:00,3070.3965,0.3158,17.347935,59.29398,550.84225,3.85465
2019-06-30 05:00:00,2630.418,0.2415,13.019545,107.860295,88.05912,3.82126
2019-07-09 18:00:00,2724.50525,0.4626,19.590605,83.539385,186.296505,3.858375
2019-02-28 14:00:00,3479.1926,0.5948,15.23431,39.57065,625.598795,3.89927
2019-06-09 17:00:00,3121.3832,0.4763,20.38147,64.962245,378.32643,3.85281
2019-06-14 17:00:00,3167.4214,0.5559,26.458345,54.10991,431.65716,3.957825
2019-05-04 12:00:00,3236.2234,0.2812,11.2024,63.91007,756.591365,3.84705
2019-02-27 20:00:00,,,4.05,89.88286,0,3.854005
2019-04-04 02:00:00,2832.42665,0.5677,5.57317,77.955065,0,3.958745
2019-04-15 08:00:00,2708.77625,0.5548,8.535145,58.12562,503.60911,3.88416
2019-06-17 22:00:00,2408.5706,0.2657,12.60059,102.331725,0,3.847045
2019-07-01 22:00:00,2499.5807,0.49,14.501345,98.874455,0,3.82088
2019-06-28 00:00:00,2464.25315,0.4673,11.76374,104.442585,0,3.82576
2019-02-25 00:00:00,3147.9862,0.4504,4.32197,104.013275,0,3.850045
2019-05-08 14:00:00,3421.2506,0.6478,17.884295,37.50459,1332.49922,3.98294
2019-07-13 11:00:00,,,27.965791667,59.6376,1076.116666667,3.815333333
2019-04-16 17:00:00,3191.5327,0.7778,12.379365,40.793275,316.180105,4.187535
2019-04-09 06:00:00,2763.9673,0.4834,-0.798575,86.578845,114.94719,3.971675
2019-04-05 10:00:00,,,18.015035,43.923875,1102.0188,3.96877
2019-05-16 23:00:00,2813.8756,0.5467,12.057315,53.735195,0,4.08936
2019-03-21 21:00:00,,,8.739083333,107.430133333,0,3.79255
2019-07-05 17:00:00,3215.1912,0.2465,20.90897,48.051245,506.394005,3.953615
2019-06-10 12:00:00,,,17.107341667,75.410208333,286.116666667,3.8174
2019-05-20 06:00:00,2331.83605,0.5418,14.150255,105.370115,163.126875,3.85515
2019-06-30 15:00:00,2780.7234,0.3131,35.21717,40.814565,1134.809675,3.901505
2019-03-26 05:00:00,2604.1963,0.2572,2.196665,102.197635,4.207225,3.820905
2019-04-12 16:00:00,3212.56275,0.6052,5.209905,67.36654,210.73657,3.939065
2019-05-07 21:00:00,2670.96555,0.4061,3.21422,94.84428,0,3.88657
2019-05-27 14:00:00,,,17.240691667,68.078883333,341.633333333,3.851525
2019-02-28 09:00:00,,,8.469525,80.330291667,314.066666667,3.788791667
2019-07-03 18:00:00,3104.9552,0.5296,13.39333,84.98653,105.311585,3.859875
2019-05-03 13:00:00,3062.1013,0.3229,13.90754,61.36878,1539.32979,3.89711
2019-04-27 05:00:00,3001.3708,0.225,10.1186,103.35498,18.882125,3.989815
2019-05-09 02:00:00,2685.6902,0.2832,9.073761111,81.126233333,0,3.891716667
2019-06-17 17:00:00,3006.29435,0.5116,25.31061,61.556895,522.893145,3.88511
2019-04-16 09:00:00,3634.3755,0.3202,10.807445,54.38829,790.416585,3.98004
2019-03-15 02:00:00,,,3.423891667,109.863675,0,3.777933333
2019-02-25 14:00:00,,,13.441215,57.78322,523.25537,3.87188
