Timestamp,ACI,ADI
2019-02-24 15:26:11,2963.4531,0.3079
2019-02-24 15:56:12,3100.7778,0.2797
2019-02-24 16:26:13,2999.9907,0.2696
2019-02-24 16:56:14,2998.8542,0.2673
2019-02-24 17:26:15,2914.5979,0.2632
2019-02-24 18:26:17,2792.8889,0.241
2019-02-24 18:56:18,2805.7319,0.1928
2019-02-24 19:26:19,2796.4319,0.1874
2019-02-24 19:56:20,3160.4292,0.2537
2019-02-24 20:26:21,3153.8589,0.2541
2019-02-24 20:56:22,2826.7148,0.1845
2019-02-24 21:26:23,3179.0103,0.2576
2019-02-24 22:26:25,3225.7725,0.2444
2019-02-24 22:56:26,2663.5876,0.1397
2019-02-24 23:26:27,2679.8938,0.2
2019-02-24 23:56:28,2842.2498,0.179
2019-02-25 00:26:29,2927.144,0.2
2019-02-25 00:56:30,3368.8284,0.2504
2019-02-25 01:26:31,3023.2146,0.2116
2019-02-25 01:56:32,2914.667,0.2034
2019-02-25 02:26:33,2714.8428,0.1552
2019-02-25 02:56:34,2820.1514,0.1575
2019-02-25 03:26:35,2804.3298,0.1875
2019-02-25 04:26:37,2659.1948,0.1607
2019-02-25 04:56:38,2971.9771,0.1893
2019-02-25 05:26:39,2852.4199,0.2146
2019-02-25 06:26:41,2569.3999,0.2354
2019-02-25 06:56:42,2338.8801,0.2183
2019-02-25 07:26:43,2524.0007,0.2387
2019-02-25 07:56:44,2838.9138,0.2563
2019-02-25 08:26:45,2560.8906,0.2532
2019-02-25 08:56:46,2636.1047,0.2509
2019-02-25 09:26:47,2756.5225,0.2579
2019-02-25 15:06:36,3451.0374,0.2953
2019-02-25 15:36:37,3242.5063,0.2898
2019-02-25 16:06:38,3504.8257,0.3035
2019-02-25 16:36:39,2722.4636,0.2704
2019-02-25 17:06:40,2743.0649,0.2699
2019-02-25 17:36:41,2940.6721,0.2767
2019-02-25 18:06:42,2872.1038,0.2646
2019-02-25 18:36:43,2722.8076,0.2408
2019-02-25 19:06:44,2821.3604,0.2703
2019-02-25 19:36:45,2652.6763,0.2441
2019-02-25 20:06:46,2862.198,0.2255
2019-02-25 20:36:47,3652.5674,0.2983
2019-02-25 21:06:48,3777.8923,0.3172
2019-02-25 21:36:49,4015.1882,0.3469
2019-02-25 22:06:50,3559.6743,0.2929
2019-02-25 22:36:51,3432.4011,0.2934
2019-02-25 23:06:52,3105.1021,0.2529
2019-02-26 00:06:54,2744.3486,0.1992
2019-02-26 00:36:55,2707.875,0.1303
2019-02-26 01:06:56,2493.4851,0.1768
2019-02-26 02:36:59,2700.8628,0.2129
2019-02-26 03:07:00,2611.7107,0.1681
2019-02-26 14:16:19,2749.551,0.2767
2019-02-26 14:46:20,2636.9321,0.2783
2019-02-26 15:16:21,3129.1465,0.2731
2019-02-26 15:46:22,2894.1711,0.2733
2019-02-26 16:16:23,3088.2686,0.2663
2019-02-26 17:16:25,2511.0095,0.2625
2019-02-26 17:46:26,2369.2791,0.26
2019-02-26 18:16:27,2808.2126,0.2643
2019-02-26 18:46:28,2687.4255,0.2236
2019-02-26 19:16:29,2721.4102,0.2496
2019-02-26 19:46:30,2352.0168,0.2743
2019-02-26 20:16:31,2425.2629,0.2469
2019-02-26 20:46:32,2508.0349,0.2752
2019-02-26 21:16:33,2437.1323,0.1836
2019-02-26 21:46:34,2402.9958,0.1882
2019-02-26 22:16:35,2421.5359,0.239
2019-02-26 22:46:36,2434.6372,0.1709
2019-02-26 23:16:37,2415.4478,0.1411
2019-02-26 23:46:38,2473.8518,0.1105
2019-02-27 00:16:39,2492.0137,0.0983
2019-02-27 00:46:40,2511.4255,0.0957
2019-02-27 01:16:41,2581.554,0.1291
2019-02-27 01:46:42,2554.9124,0.089
2019-02-27 02:46:44,2651.3521,0.2121
2019-02-27 03:16:45,3047.9404,0.1378
2019-02-27 04:46:48,3382.7847,0.1198
2019-02-27 14:51:11,3581.2969,0.2884
2019-02-27 15:21:12,3426.9927,0.2954
2019-02-27 15:51:13,3497.8772,0.2731
2019-02-27 16:21:14,2984.6702,0.3089
2019-02-27 16:51:15,3185.7891,0.2845
2019-02-27 17:21:16,3044.2756,0.2774
2019-02-27 17:51:17,2712.6326,0.3041
2019-02-27 18:21:18,2634.7395,0.2646
2019-02-27 18:51:19,2466.6292,0.3033
2019-02-27 19:51:21,2656.1699,0.2472
2019-02-27 22:51:27,2716.6096,0.1729
2019-02-27 23:21:28,2397.0613,0.2204
2019-02-27 23:51:29,2607.0017,0.1594
2019-02-28 00:21:30,2566.9795,0.1422
2019-02-28 00:51:31,2441.1753,0.1098
2019-02-28 01:21:32,2499.0195,0.1142
2019-02-28 02:21:34,2477.2351,0.068
2019-02-28 03:21:36,3876.7283,0.3101
2019-02-28 03:51:37,3738.7039,0.3123
2019-02-28 04:21:38,3123.9048,0.2391
2019-02-28 04:51:39,2611.2097,0.1599
2019-02-28 05:21:40,3134.9646,0.2289
2019-02-28 05:51:41,2842.8687,0.2274
2019-02-28 14:11:15,3664.7944,0.305
2019-02-28 14:41:16,3293.5908,0.2898
2019-02-28 15:41:18,3319.9849,0.2788
2019-02-28 16:11:19,3200.7271,0.2826
2019-02-28 17:41:22,2591.502,0.2384
2019-02-28 19:11:25,2458.3745,0.2429
2019-02-28 19:41:26,2467.1252,0.2066
2019-02-28 20:11:27,2465.8345,0.1995
2019-02-28 20:41:28,2492.22,0.1681
2019-02-28 21:11:29,2500.3982,0.1908
2019-02-28 21:41:30,2570.3477,0.2143
2019-02-28 22:11:31,2535.925,0.1146
2019-02-28 22:41:32,2603.2275,0.1281
2019-02-28 23:11:33,2650.0583,0.1138
2019-02-28 23:41:34,2566.8391,0.118
2019-03-01 01:41:38,2714.6418,0.1411
2019-03-01 02:11:39,2690.1262,0.1408
2019-03-01 02:41:40,2673.7844,0.1616
2019-03-01 03:11:41,2700.3428,0.2349
2019-03-01 03:41:42,2711.4424,0.1005
2019-03-01 04:11:43,2687.7847,0.1252
2019-03-01 04:41:44,2665.241,0.1606
2019-03-01 05:11:45,3106.7026,0.1041
2019-03-01 06:11:47,2575.613,0.2286
2019-03-01 06:41:48,2704.3953,0.2757
2019-03-01 07:11:49,2735.9358,0.2933
2019-03-01 14:41:23,3494.209,0.2735
2019-03-01 15:11:24,3088.3044,0.2993
2019-03-01 15:41:25,2787.24,0.2712
2019-03-01 16:11:26,2711.9063,0.2922
2019-03-01 16:41:27,3309.7505,0.2656
2019-03-01 17:11:28,2411.3389,0.2792
2019-03-01 17:41:29,2481.3015,0.2142
2019-03-01 18:41:31,2332.845,0.2604
2019-03-01 19:11:32,2314.0408,0.2704
2019-03-01 20:41:35,2445.4158,0.1901
2019-03-01 21:11:36,2521.8235,0.1992
2019-03-01 21:41:37,2515.053,0.2156
2019-03-01 22:41:39,2670.7051,0.1449
2019-03-01 23:11:40,2674.4634,0.1463
2019-03-02 00:11:42,2620.845,0.2112
2019-03-02 01:11:44,2645.4622,0.092
2019-03-02 01:41:45,2545.1714,0.1264
2019-03-02 02:41:47,2446.4453,0.0889
2019-03-02 03:41:50,2609.3523,0.15
2019-03-02 04:11:51,2678.3906,0.2024
2019-03-02 05:41:54,2521.7458,0.156
2019-03-02 06:11:55,2494.6406,0.1537
2019-03-09 15:39:30,4136.7578,0.418
2019-03-09 16:09:31,4232.8936,0.3657
2019-03-09 16:39:32,3434.5898,0.4049
2019-03-09 17:09:33,3403.4355,0.2966
2019-03-09 17:39:34,3717.7253,0.312
2019-03-09 18:09:35,3595.4558,0.3119
2019-03-09 18:39:36,3248.7402,0.301
2019-03-09 19:39:38,2498.2046,0.1675
2019-03-09 20:09:39,2671.7322,0.2208
2019-03-09 20:39:40,2635.4033,0.2406
2019-03-09 21:39:42,3232.0583,0.2754
2019-03-09 22:39:44,2979.8733,0.2796
2019-03-09 23:09:45,3974.7798,0.3266
2019-03-09 23:39:46,3661.3438,0.3062
2019-03-10 00:39:48,3350.9036,0.2937
2019-03-11 13:47:20,3723.3018,0.2907
2019-03-11 14:17:21,3645.8918,0.2856
2019-03-11 15:17:23,3717.9109,0.2876
2019-03-11 15:47:24,3680.2964,0.2974
2019-03-11 16:17:25,3809.2139,0.307
2019-03-11 16:47:26,3792.6343,0.2876
2019-03-11 17:17:27,3274.2048,0.2655
2019-03-11 17:47:28,2807.1143,0.2435
2019-03-11 18:17:29,2661.9792,0.2447
2019-03-11 18:47:30,2813.6599,0.2312
2019-03-11 19:17:31,2548.0356,0.2129
2019-03-11 19:47:32,2478.6772,0.1618
2019-03-11 20:17:33,2481.6487,0.1564
2019-03-11 20:47:34,2444.7192,0.1478
2019-03-11 21:47:36,2338.1875,0.1479
2019-03-11 22:47:38,2496.8511,0.124
2019-03-11 23:47:40,2626.321,0.1693
2019-03-12 00:17:41,2986.3418,0.18
2019-03-12 00:47:42,2412.8821,0.1079
2019-03-12 01:47:44,2719.3806,0.1451
2019-03-12 02:17:45,2548.1016,0.119
2019-03-12 03:17:47,2549.0198,0.1959
2019-03-12 03:47:48,2566.0024,0.0963
2019-03-12 04:17:49,2511.6855,0.1402
2019-03-12 05:17:51,3348.5259,0.1387
2019-03-12 07:17:55,2473.5886,0.2635
2019-03-12 07:47:56,3003.7927,0.2585
2019-03-12 08:17:57,2592.499,0.2944
2019-03-12 08:47:58,3954.4187,0.2248
2019-03-12 09:17:59,3522.4053,0.2449
2019-03-12 09:48:00,3418.449,0.2454
2019-03-12 10:18:01,2956.4873,0.2491
2019-03-12 10:48:02,3386.124,0.2809
2019-03-12 11:18:03,2941.009,0.2726
2019-03-12 11:48:04,3580.333,0.263
2019-03-12 12:18:05,3505.02,0.2769
2019-03-12 12:48:06,3448.6072,0.3016
2019-03-12 13:48:08,3599.6909,0.2961
2019-03-12 14:48:10,3671.2488,0.3496
2019-03-12 15:48:12,3312.7815,0.3238
2019-03-12 16:18:13,3294.8677,0.3076
2019-03-12 16:48:14,3797.4329,0.3247
2019-03-12 17:18:15,3935.6606,0.2991
2019-03-12 17:48:16,4153.0454,0.319
2019-03-12 18:48:18,4271.0835,0.3428
2019-03-12 19:18:19,4320.1289,0.3452
2019-03-12 19:48:20,4092.7781,0.3297
2019-03-12 20:18:21,3990.6736,0.3202
2019-03-12 20:48:22,3934.5579,0.3629
2019-03-12 21:18:23,4143.4858,0.3292
2019-03-12 21:48:24,3671.5991,0.3272
2019-03-12 22:18:25,3536.5671,0.3452
2019-03-12 22:48:26,4211.1655,0.315
